variable,value,label,meta
P27E,7,Descargar archivos,NA
P27E,8,Jugar,NA
P27E,9,Escuchar música o ver videos,NA
P27E,10,Redes sociales,NA
P27E,11,Correo electrónico,NA
P27E,12,Otro,NA
P27F,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27F,1,Contactar amigos o familiares,NA
P27F,2,Buscar información,NA
P27F,3,"Comprar, vender o permutar",NA
P27F,4,Fines académicos,NA
P27F,5,Trabajo,NA
P27F,6,Ver noticias,NA
P27F,7,Descargar archivos,NA
P27F,8,Jugar,NA
P27F,9,Escuchar música o ver videos,NA
P27F,10,Redes sociales,NA
P27F,11,Correo electrónico,NA
P27F,12,Otro,NA
P27G,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27G,1,Contactar amigos o familiares,NA
P27G,2,Buscar información,NA
P27G,3,"Comprar, vender o permutar",NA
P27G,4,Fines académicos,NA
P27G,5,Trabajo,NA
P27G,6,Ver noticias,NA
P27G,7,Descargar archivos,NA
P27G,8,Jugar,NA
P27G,9,Escuchar música o ver videos,NA
P27G,10,Redes sociales,NA
P27G,11,Correo electrónico,NA
P27G,12,Otro,NA
P27D,NA,27. Otro,varlab
P28,NA,28. ¿Tiene celular?,varlab
P28,1,Si,NA
P28,2,No,NA
P29A,NA,29. ¿Cuándo fue la última vez que compró o que le compraron un celular? (MESES),varlab
P29A,99,NS/NR,NA
P29B,NA,29. ¿Cuándo fue la última vez que compró o que le compraron un celular? (AÑOS),varlab
P29B,99,NS/NR,NA
P30,NA,30. ¿Cuánto pagó o pagaron aproximadamente la última vez?,varlab
P30,99,NS/NR,NA
P31A,NA,31. ¿Qué usos le da a su celular?,varlab
P31A,1,Llamadas telefónicas,NA
P31A,2,Mensajes de texto SMS,NA
P31A,3,Escuchar música,NA
P31A,4,Ver videos,NA
P31A,5,Juegos,NA
P31A,6,Conectarse a Internet,NA
P31A,7,Sacar fotos,NA
P31A,8,Otro,NA
P31B,NA,31. ¿Qué usos le da a su celular?,varlab
P31B,1,Llamadas telefónicas,NA
P31B,2,Mensajes de texto SMS,NA
P31B,3,Escuchar música,NA
P31B,4,Ver videos,NA
P31B,5,Juegos,NA
P31B,6,Conectarse a Internet,NA
P31B,7,Sacar fotos,NA
P31B,8,Otro,NA
P31C,NA,31. ¿Qué usos le da a su celular?,varlab
P31C,1,Llamadas telefónicas,NA
P31C,2,Mensajes de texto SMS,NA
P31C,3,Escuchar música,NA
P31C,4,Ver videos,NA
P31C,5,Juegos,NA
P31C,6,Conectarse a Internet,NA
P31C,7,Sacar fotos,NA
P31C,8,Otro,NA
